ds,MSFT_real,MSFT_forecast,AAPL_real,AAPL_forecast,AMZN_real,AMZN_forecast,GOOGL_real,GOOGL_forecast,META_real,META_forecast
2023-06-15,345.3980407714844,325.7006324904334,185.02735900878906,180.01277966345222,127.11000061035156,118.10721142604154,124.94659423828125,121.43688089048511,281.2520446777344,267.3191929260147
2023-06-16,339.6728210449219,326.58949147315946,183.943115234375,180.5581799620924,125.48999786376953,118.49447514752642,123.38838958740234,121.74992734025076,280.4237365722656,269.3339311838719
2023-06-20,335.4260559082031,328.8371092449279,184.03262329101562,181.44605422106775,125.77999877929688,119.59673183832386,122.95887756347656,122.7157453203355,283.7469177246094,274.35031332188044
2023-06-21,330.9709167480469,329.90404243054695,182.9882049560547,181.63195423791063,124.83000183105469,120.02881774120986,120.41180419921875,122.86960726599301,281.06243896484375,275.9548403473097
2023-06-22,337.07318115234375,330.4624295369743,186.01214599609375,181.6404848993715,130.14999389648438,120.40771514713629,123.00882720947266,123.08267173685536,284.2958068847656,277.1691448523806
2023-06-23,332.41961669921875,331.5202991402529,185.6938018798828,182.2642471621127,129.3300018310547,121.04635712931561,122.19974517822266,123.54525124786987,288.1379089355469,279.2326457585673
2023-06-26,326.0494384765625,333.85794937050736,184.29129028320312,183.43606565015006,127.33000183105469,122.96251332276805,118.20433044433594,124.56479809402404,277.89892578125,282.47824583467167
2023-06-27,331.97308349609375,334.2080138941287,187.0665283203125,183.67107176658817,129.17999267578125,123.00796405351727,118.19435119628906,124.887748367706,286.4613342285156,283.4557813558221
2023-06-28,333.2431640625,335.30058788658823,188.250244140625,184.0256771485932,129.0399932861328,123.58190871036845,120.04222869873047,125.06765064034461,284.7049865722656,284.6344061727957
2023-06-29,332.4493713378906,335.84215961311423,188.58843994140625,184.210812928245,127.9000015258789,124.06156023598496,118.96346282958984,125.27661697903022,280.9526672363281,285.34799641361246
2023-06-30,337.89678955078125,336.83745013350597,192.94532775878906,185.0141141136886,130.36000061035156,124.75574356344717,119.56277465820312,125.7047071597819,286.3915100097656,286.8476304295913
2023-07-03,335.36651611328125,338.6915032110882,191.4433135986328,186.68661776887876,130.22000122070312,126.5459363290917,119.7625503540039,126.44609456822465,285.4334411621094,288.1596871418088
2023-07-05,335.5252990722656,339.5595342538021,190.3192596435547,187.5203667217045,130.3800048828125,126.8409153988035,121.61042785644531,126.63657686752613,293.7663269042969,288.97470869147344
2023-07-06,338.62103271484375,339.74145593739877,190.79673767089844,187.7839074877005,128.36000061035156,127.09463247246356,119.9723129272461,126.66581726338852,291.3912048339844,289.0341271425293
2023-07-07,334.60247802734375,340.3326029102788,189.6726837158203,188.62996411842474,129.77999877929688,127.52718633989369,119.34303283691406,126.89919651128972,289.9342041015625,289.91783023540904
2023-07-10,329.2543640136719,340.7512629436821,187.61363220214844,190.18001265655718,127.12999725341797,128.38759788413526,116.31649780273438,127.00693433542406,293.49688720703125,289.7274592669591
2023-07-11,329.8893737792969,340.30474825449966,187.08644104003906,190.4177134063634,128.77999877929688,127.96209486605729,117.0057144165039,126.97100969343325,297.6783142089844,289.673373803032
2023-07-12,334.5827331542969,340.53435533614356,188.7675018310547,190.70245759621542,130.8000030517578,128.02363175332383,118.79366302490234,126.77586679141778,308.70562744140625,289.91211429964875
2023-07-13,340.0002746582031,340.1560494838584,189.53343200683594,190.7407664985255,134.3000030517578,127.96247557407808,124.39723205566406,126.60091750580429,312.7673034667969,289.79451011531273
2023-07-14,342.56024169921875,340.1853231069309,189.68263244628906,191.31753027252728,134.67999267578125,128.1015075399707,125.2762222290039,126.64364743173678,308.236572265625,290.5853329556983
2023-07-17,343.0464782714844,338.98765851343865,192.9652099609375,191.83213405175923,133.55999755859375,128.28764441226951,124.5071029663086,126.29318712879244,309.9830017089844,290.5876233299504
2023-07-18,356.6996154785156,338.05143595730715,192.70657348632812,191.6661094408499,132.8300018310547,127.72792550139022,123.61812591552734,126.15122446976409,311.4100646972656,290.7336800802919
2023-07-19,352.3238525390625,337.82811841057963,194.06935119628906,191.52861060289356,135.36000061035156,127.70863226771766,121.89010620117188,125.87662002272432,315.3619689941406,291.22573918725453
2023-07-20,344.1776123046875,337.0402795092127,192.10975646972656,191.1336071935181,129.9600067138672,127.62294036942208,119.06334686279297,125.64998157482432,301.8996276855469,291.40384726100064
2023-07-21,341.1016540527344,336.70934152334485,190.92604064941406,191.2738618103835,130.0,127.79520209977463,119.88240814208984,125.6694876511206,293.65655517578125,292.5211823145524
2023-07-24,342.4312744140625,334.77378835471177,191.7317657470703,190.54086933848592,128.8000030517578,128.4201793470418,121.39067840576172,125.41978178613222,291.011962890625,293.56723127011367
2023-07-25,348.2557373046875,333.7166851017901,192.59715270996094,190.00607600439378,129.1300048828125,128.1101066088867,122.06990051269531,125.36582896506364,293.8661193847656,294.04337578200307
2023-07-26,335.1482238769531,333.43784054100934,193.47251892089844,189.53560351642594,128.14999389648438,128.383971455703,129.12181091308594,125.20424500006807,297.9577331542969,294.8386469520783
2023-07-27,328.1529846191406,332.6598798071946,192.19927978515625,188.84978936269792,128.25,128.6283143169009,129.25164794921875,125.11379920227054,311.0707702636719,295.28394524147643
2023-07-28,335.74359130859375,332.4031764004315,194.7954864501953,188.7468742526905,132.2100067138672,129.15993241423402,132.42800903320312,125.29055290200364,324.8125305175781,296.6247401917455
2023-07-31,333.3126220703125,331.05006506180496,195.41220092773438,187.60882842455027,133.67999267578125,130.95391668886495,132.56785583496094,125.61460683973624,317.9466552734375,298.02682574583946
2023-08-01,333.7293395996094,330.2932989827062,194.57664489746094,187.05395181886055,131.69000244140625,131.0339347189441,131.39920043945312,125.77709968118276,322.0481872558594,298.50858830830236
2023-08-02,324.9579772949219,330.3588383823591,191.56265258789062,186.62100089733946,128.2100067138672,131.68319723664962,128.2328338623047,125.83995386324317,313.6654357910156,299.2533899814621
2023-08-03,324.1244812011719,329.9627758245625,190.16009521484375,186.0284065539382,128.91000366210938,132.2798131594203,128.30274963378906,125.97914214052102,312.5477600097656,299.5950234776905
2023-08-04,325.23577880859375,330.1183961558255,181.0286102294922,186.07121348337836,139.57000732421875,133.13279250844096,127.963134765625,126.3879536752376,310.0928039550781,300.7834189563986
2023-08-07,327.5476989746094,330.10780296341443,177.90518188476562,185.6356896663725,142.22000122070312,135.64103132177414,131.37921142578125,127.39589708912257,315.91082763671875,301.4996852243601
2023-08-08,323.51922607421875,329.8070994830955,178.85015869140625,185.3818096368925,139.94000244140625,135.8599309691788,131.24935913085938,127.77374360237201,311.9989013671875,301.7025193407575
2023-08-09,319.7288818359375,330.31965544007437,177.24867248535156,185.2704393559896,137.85000610351562,136.59363042464184,129.51136779785156,128.04164628422575,304.5840759277344,302.1574903712131
2023-08-10,320.4234619140625,330.3538457023691,177.0298309326172,185.0114777966604,138.55999755859375,137.21931839062012,129.5413360595703,128.37334732703525,305.1130065917969,302.2071076676468
2023-08-11,318.5183410644531,330.91558379161347,177.089599609375,185.39115512172128,138.41000366210938,138.04641389176143,129.41146850585938,128.96002381639352,301.02142333984375,303.10970916190985
2023-08-14,321.52484130859375,331.9129089383137,178.75303649902344,185.89764627673748,140.57000732421875,140.17008844817082,131.179443359375,130.39437081720737,305.56207275390625,303.0796968084152
2023-08-15,319.3617248535156,331.8594085643289,176.75094604492188,185.9070404599758,137.6699981689453,140.17163278406608,129.6312255859375,130.87280875906598,301.330810546875,303.0903472485829
2023-08-16,318.5861511230469,332.5673885634002,175.87442016601562,186.02106468038863,135.07000732421875,140.65223418544315,128.55245971679688,131.21795157013108,293.6864929199219,303.3880447769442
2023-08-17,315.08612060546875,332.74206244641135,173.3145294189453,185.94332854586887,133.97999572753906,140.99538931680334,129.77105712890625,131.60220593538082,284.50537109375,303.3171375058108
2023-08-18,314.6883850097656,333.38708653037713,173.8026123046875,186.45479406877539,133.22000122070312,141.51722400683184,127.31388092041016,132.2155719602854,282.66912841796875,304.13630995676266
2023-08-21,320.0577697753906,334.28234023552227,175.14727783203125,187.0249010146414,134.67999267578125,142.6575109413434,128.22283935546875,133.56579354526454,289.3055114746094,304.06046158822596
2023-08-22,320.6344909667969,334.0791500288565,176.53179931640625,186.93953355566765,134.25,142.33080846596553,128.93202209472656,133.95953269341092,287.01019287109375,304.1114783772559
2023-08-23,325.1488037109375,334.58261725304305,180.40647888183594,186.90137432394863,135.52000427246094,142.49291020184162,132.21824645996094,134.19131661894477,293.6365966796875,304.4684549320823
2023-08-24,318.1585998535156,334.50098409878564,175.68515014648438,186.6162887430128,131.83999633789062,142.53231370241454,129.6312255859375,134.43379190556902,286.1619567871094,304.46924921695626
2023-08-25,321.1515808105469,334.84166959560076,177.9063720703125,186.8686944422908,133.25999450683594,142.76930771436375,129.73110961914062,134.8775318548899,284.9145202636719,305.3656452106665
